Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",11.750000,-13.000000,90.000000,top
"C2","100n","C_0402_1005Metric",12.750000,-13.000000,90.000000,top
"C3","100n","C_0402_1005Metric",17.770000,-24.250000,0.000000,top
"C4","100n","C_0402_1005Metric",17.770000,-25.250000,0.000000,top
"C5","100n","C_0402_1005Metric",17.770000,-26.250000,0.000000,top
"C6","100n","C_0402_1005Metric",19.770000,-23.250000,180.000000,top
"C7","100n","C_0402_1005Metric",19.770000,-24.250000,180.000000,top
"C8","100n","C_0402_1005Metric",19.770000,-25.250000,180.000000,top
"C9","100n","C_0402_1005Metric",17.770000,-23.250000,0.000000,top
"C10","1u","C_0402_1005Metric",14.850000,-13.150000,90.000000,top
"C11","1u","C_0402_1005Metric",13.850000,-13.150000,90.000000,top
"C12","27p","C_0402_1005Metric",9.250000,-23.550000,-90.000000,top
"C13","27p","C_0402_1005Metric",14.850000,-23.550000,90.000000,top
"C14","10u","C_0805_2012Metric",27.500000,-24.350000,0.000000,top
"C15","10u","C_0805_2012Metric",30.550000,-11.250000,0.000000,top
"C16","100n","C_0402_1005Metric",18.250000,-5.770000,90.000000,top
"P1","USB_C_Plug_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",27.250000,-3.750000,180.000000,top
"R1","27.4","R_0402_1005Metric",18.490000,-17.000000,0.000000,top
"R2","27.4","R_0402_1005Metric",18.490000,-15.750000,0.000000,top
"R3","5.1k","R_0402_1005Metric",27.500000,-10.250000,-90.000000,top
"R4","1k","R_0402_1005Metric",7.500000,-5.750000,-90.000000,top
"SW1","SW_SPST","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin",12.885000,-2.950000,180.000000,top
"SW2","SW_SPST","SW_SPST_B3U-1000P",3.550000,-2.750000,0.000000,top
"SW3","SW_SPST","SW_SPST_B3U-1000P",3.550000,-7.100000,0.000000,top
"SW4","SW_SPST","SW_SPST_B3U-1000P",3.550000,-11.450000,0.000000,top
"SW5","SW_SPST","SW_SPST_B3U-1000P",3.550000,-15.800000,0.000000,top
"SW6","SW_SPST","SW_SPST_B3U-1000P",3.550000,-20.150000,0.000000,top
"SW7","SW_SPST","SW_SPST_B3U-1000P",3.550000,-24.500000,0.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",12.450000,-18.387500,0.000000,top
"U2","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",27.200000,-17.650000,-90.000000,top
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",13.050000,-8.750000,0.000000,top
"Y1","12.000MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",12.050000,-24.350000,180.000000,top
